Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
736973.91,2.37,3.6116226,3.5204667,3.686925,0.63022167,2017-10-05 21:50:24.000002816
736974.3,2.13,3.6121279,3.520972,3.6874303,0.6323247,2017-10-06 07:12:00.000004026
736975.15,1.57,3.6163306,3.5251746,3.691633,0.62580599,2017-10-07 03:36:00.000002013
736975.36,1.53,3.6158771,3.5247212,3.6911795,0.62014224,2017-10-07 08:38:23.999998790
736977.42,1.94,3.6152784,3.5241225,3.6905808,0.61527306,2017-10-09 10:04:48.000003620
736977.48,1.84,3.6181319,3.5269759,3.6934343,0.62111151,2017-10-09 11:31:11.999998392
736978.35,1.94,3.6222022,3.5310462,3.6975045,0.62049266,2017-10-10 08:23:59.999997986
736979.05,1.57,3.621283,3.5301271,3.6965854,0.61988754,2017-10-11 01:12:00.000004026
736979.09,1.63,3.6296615,3.5385055,3.7049639,0.62490437,2017-10-11 02:09:35.999997183
736979.51,1.94,3.6364471,3.5452912,3.7117495,0.62209557,2017-10-11 12:14:24.000000803
736980.08,1.53,3.6420145,3.5508586,3.7173169,0.62156883,2017-10-12 01:55:11.999996379
736980.82,1.63,3.6673637,3.5762078,3.7426661,0.61489893,2017-10-12 19:40:47.999995576
736981.08,1.6,3.6832556,3.5920997,3.758558,0.61664201,2017-10-13 01:55:11.999996379
736981.72,1.6,3.6839086,3.5927527,3.759211,0.61466719,2017-10-13 17:16:47.999997589
736981.73,2.05,3.6853192,3.5941633,3.7606216,0.61693499,2017-10-13 17:31:11.999998392
736981.92,1.57,3.6851019,3.593946,3.7604043,0.62064411,2017-10-13 22:04:48.000003620
736983.6,1.6,3.6917039,3.600548,3.7670063,0.6215723,2017-10-15 14:23:59.999997986
736983.65,1.57,3.6927147,3.6015587,3.768017,0.62555465,2017-10-15 15:36:00.000002013
736984.29,1.63,3.6901639,3.599008,3.7654663,0.62179272,2017-10-16 06:57:36.000003222
736984.3,1.63,3.6915659,3.60041,3.7668683,0.62314068,2017-10-16 07:12:00.000004026
736984.33,1.53,3.6972631,3.6061071,3.7725655,0.62505105,2017-10-16 07:55:11.999996379
736984.84,1.63,3.7158127,3.6246568,3.7911151,0.62277366,2017-10-16 20:09:35.999997183
736985.63,1.57,3.7578695,3.6667136,3.8331719,0.61670035,2017-10-17 15:07:12.000000406
736985.96,1.57,3.7645757,3.6734198,3.8398781,0.61774322,2017-10-17 23:02:23.999996777
736986.47,1.63,3.7767028,3.6855468,3.8520052,0.61675555,2017-10-18 11:16:47.999997589
736986.91,1.53,3.7760495,3.6848936,3.8513519,0.61892394,2017-10-18 21:50:24.000002816
736987.22,1.57,3.7809573,3.6898013,3.8562597,0.62100541,2017-10-19 05:16:47.999997589
736988.19,1.63,3.8095506,3.7183947,3.884853,0.61855087,2017-10-20 04:33:35.999995170
736988.47,2.0,3.8215373,3.7303814,3.8968397,0.6196875,2017-10-20 11:16:47.999997589
736988.94,1.53,3.8205501,3.7293942,3.8958525,0.62441639,2017-10-20 22:33:35.999995170
736991.26,1.57,3.8130067,3.7218508,3.8883091,0.63012259,2017-10-23 06:14:24.000000803
736992.25,1.6,3.8101235,3.7189676,3.8854259,0.6322731,2017-10-24 06:00:00.000000000
736994.95,2.0,3.8038081,3.7126522,3.8791105,0.63678251,2017-10-26 22:47:59.999995973
736995.88,1.84,3.8038281,3.7126722,3.8791305,0.6383016,2017-10-27 21:07:12.000000406
736995.88,1.84,3.8038281,3.7126722,3.8791305,0.64263923,2017-10-27 21:07:12.000000406
736995.88,1.63,3.8052437,3.7140877,3.8805461,0.6383016,2017-10-27 21:07:12.000000406
736995.88,1.63,3.8052437,3.7140877,3.8805461,0.64263923,2017-10-27 21:07:12.000000406
736996.86,1.84,3.8314353,3.7402794,3.9067377,0.63975944,2017-10-28 20:38:23.999998790
736997.1,1.84,3.8335036,3.7423477,3.908806,0.63973384,2017-10-29 02:23:59.999997986
736998.81,1.84,3.8308088,3.7396529,3.9061112,0.6433759,2017-10-30 19:26:24.000004829
736999.59,1.94,3.8412676,3.7501116,3.91657,0.64235723,2017-10-31 14:09:35.999997183
737000.03,1.53,3.8451957,3.7540397,3.9204981,0.644157,2017-11-01 00:43:12.000002410
737000.18,1.57,3.8467508,3.7555949,3.9220532,0.64619628,2017-11-01 04:19:12.000004423
737000.35,1.84,3.8482682,3.7571123,3.9235706,0.64433493,2017-11-01 08:23:59.999997986
737002.11,1.94,3.8465141,3.7553582,3.9218165,0.64641029,2017-11-03 02:38:23.999998790
737002.98,1.6,3.846347,3.7551911,3.9216494,0.64561285,2017-11-03 23:31:11.999998392
737003.18,1.94,3.8561869,3.765031,3.9314893,0.64358125,2017-11-04 04:19:12.000004423
737004.02,1.53,3.8564613,3.7653054,3.9317637,0.64354369,2017-11-05 00:28:48.000001607
737004.15,1.53,3.8580307,3.7668747,3.9333331,0.64687659,2017-11-05 03:36:00.000002013
737005.72,1.94,3.8559465,3.7647906,3.9312489,0.65062468,2017-11-06 17:16:47.999997589
737006.06,1.84,3.8591234,3.7679675,3.9344258,0.64807809,2017-11-07 01:26:24.000004829
737006.79,1.6,3.9885081,3.8973522,4.0638105,0.64278268,2017-11-07 18:57:36.000003222
737006.84,2.05,3.994412,3.903256,4.0697144,0.64362103,2017-11-07 20:09:35.999997183
737007.62,1.94,4.0240155,3.9328596,4.0993179,0.63972088,2017-11-08 14:52:47.999999593
737008.14,1.57,4.051702,3.960546,4.1270043,0.63618492,2017-11-09 03:21:36.000001209
737008.58,1.94,4.0590851,3.9679292,4.1343875,0.6329492,2017-11-09 13:55:11.999996379
737009.13,1.57,4.0566715,3.9655155,4.1319739,0.63056808,2017-11-10 03:07:12.000000406
737009.55,1.84,4.057254,3.966098,4.1325564,0.62696875,2017-11-10 13:12:00.000004026
737009.78,2.09,4.0600575,3.9689016,4.1353599,0.62936944,2017-11-10 18:43:12.000002410
737010.2,1.63,4.0578786,3.9667227,4.133181,0.62650135,2017-11-11 04:47:59.999995973
737014.06,1.84,4.036175,3.9450191,4.1114774,0.62769092,2017-11-15 01:26:24.000004829
737014.39,1.53,4.0331615,3.9420056,4.1084639,0.62728159,2017-11-15 09:21:36.000001209
737014.62,1.63,4.0412213,3.9500654,4.1165237,0.62573013,2017-11-15 14:52:47.999999593
737015.57,1.84,4.0377129,3.946557,4.1130153,0.62376083,2017-11-16 13:40:47.999995576
737016.54,2.69,4.041259,3.9501031,4.1165614,0.62579026,2017-11-17 12:57:36.000003222
737016.56,1.94,4.0431672,3.9520113,4.1184696,0.6265741,2017-11-17 13:26:24.000004829
737016.89,1.6,4.041519,3.9503631,4.1168214,0.62478418,2017-11-17 21:21:36.000001209
737017.33,1.84,4.0413009,3.9501449,4.1166032,0.62404344,2017-11-18 07:55:11.999996379
737019.29,1.53,4.0311689,3.9400129,4.1064713,0.62603319,2017-11-20 06:57:36.000003222
737019.3,1.63,4.0298215,3.9386656,4.1051239,0.62719046,2017-11-20 07:12:00.000004026
737020.75,1.84,4.0248796,3.9337237,4.100182,0.63015396,2017-11-21 18:00:00.000000000
737021.2,1.6,4.023405,3.9322491,4.0987074,0.62953159,2017-11-22 04:47:59.999995973
737021.85,1.57,4.0221989,3.931043,4.0975013,0.62925129,2017-11-22 20:23:59.999997986
737023.03,1.84,4.0300162,3.9388602,4.1053186,0.6239553,2017-11-24 00:43:12.000002410
737023.52,1.6,4.0471295,3.9559736,4.1224319,0.61996805,2017-11-24 12:28:48.000001607
737024.7,1.6,4.0544135,3.9632575,4.1297159,0.61685192,2017-11-25 16:47:59.999995973
737026.61,1.84,4.0524383,3.9612824,4.1277407,0.61278681,2017-11-27 14:38:23.999998790
737027.87,1.84,4.0475915,3.9564355,4.1228939,0.61309972,2017-11-28 20:52:47.999999593
737028.07,1.53,4.0576924,3.9665365,4.1329948,0.61645777,2017-11-29 01:40:47.999995576
737030.67,1.84,4.0464368,3.9552809,4.1217392,0.62077737,2017-12-01 16:04:48.000003620
737034.48,1.84,4.0243925,3.9332366,4.0996949,0.61989867,2017-12-05 11:31:11.999998392
737034.49,1.6,4.0278974,3.9367415,4.1031998,0.61951661,2017-12-05 11:45:35.999999196
737034.71,1.57,4.0392405,3.9480846,4.1145429,0.61544429,2017-12-05 17:02:23.999996777
737035.6,1.53,4.0382263,3.9470704,4.1135287,0.61754648,2017-12-06 14:23:59.999997986
737037.51,1.6,4.0271254,3.9359695,4.1024278,0.61746054,2017-12-08 12:14:24.000000803
737040.46,1.53,4.0123005,3.9211446,4.0876029,0.62133768,2017-12-11 11:02:23.999996777
737042.91,1.53,3.9993437,3.9081878,4.0746461,0.62172635,2017-12-13 21:50:24.000002816
737043.31,2.69,4.0086814,3.9175255,4.0839838,0.62367781,2017-12-14 07:26:24.000004829
737049.43,1.84,3.9801036,3.8889476,4.055406,0.62695273,2017-12-20 10:19:12.000004423
737050.51,1.53,3.9768294,3.8856734,4.0521318,0.62765503,2017-12-21 12:14:24.000000803
737057.22,1.6,3.9456372,3.8544812,4.0209396,0.62851256,2017-12-28 05:16:47.999997589
737057.35,1.57,3.9462364,3.8550804,4.0215388,0.63153714,2017-12-28 08:23:59.999997986
737057.39,2.05,3.94893,3.8577741,4.0242324,0.63007004,2017-12-28 09:21:36.000001209
