Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
736797.84,0.47,4.3000482,4.2088923,4.3753506,0.67528919,2017-04-12 20:09:35.999997184
736797.84,0.63,4.3038852,4.2127293,4.3791876,0.67528919,2017-04-12 20:09:35.999997184
736797.87,0.42,4.3027299,4.211574,4.3780323,0.67448475,2017-04-12 20:52:47.999999488
736797.89,0.51,4.2942841,4.2031282,4.3695865,0.67483932,2017-04-12 21:21:36.000001280
736797.91,0.11,4.2944536,4.2032977,4.369756,0.67920699,2017-04-12 21:50:24.000002816
736797.97,0.63,4.2965093,4.2053533,4.3718116,0.68143565,2017-04-12 23:16:47.999997696
736798.03,0.61,4.2931527,4.2019968,4.3684551,0.67683562,2017-04-13 00:43:12.000002304
736798.03,0.61,4.2931527,4.2019968,4.3684551,0.68171662,2017-04-13 00:43:12.000002304
736798.03,0.47,4.2930273,4.2018714,4.3683297,0.67683562,2017-04-13 00:43:12.000002304
736798.03,0.47,4.2930273,4.2018714,4.3683297,0.68171662,2017-04-13 00:43:12.000002304
736798.14,0.42,4.289989,4.1988331,4.3652914,0.67609753,2017-04-13 03:21:36.000001280
736798.5,0.26,4.2595379,4.168382,4.3348403,0.66755805,2017-04-13 12:00:00.000000000
736798.66,0.11,4.2611552,4.1699992,4.3364576,0.66534459,2017-04-13 15:50:24.000002816
736798.74,0.11,4.2579968,4.1668408,4.3332992,0.66138674,2017-04-13 17:45:35.999999232
736798.77,0.47,4.2593753,4.1682194,4.3346777,0.66105971,2017-04-13 18:28:48.000001536
736798.82,0.11,4.2606357,4.1694798,4.3359381,0.66285864,2017-04-13 19:40:47.999995648
736798.87,0.26,4.2638874,4.1727314,4.3391898,0.65919222,2017-04-13 20:52:47.999999488
736798.9,0.36,4.2675695,4.1764136,4.3428719,0.65664197,2017-04-13 21:36:00.000002048
736798.93,0.26,4.2714651,4.1803092,4.3467675,0.65507999,2017-04-13 22:19:12.000004352
736798.99,1.53,4.289097,4.1979411,4.3643994,0.65611517,2017-04-13 23:45:35.999999232
736799.0,0.36,4.2946858,4.2035298,4.3699882,0.6555309,2017-04-14 00:00:00.000000000
736799.05,1.13,4.2975924,4.2064365,4.3728948,0.65035146,2017-04-14 01:12:00.000004096
736799.23,0.26,4.2938107,4.2026548,4.3691131,0.65142288,2017-04-14 05:31:11.999998464
736799.34,0.26,4.2901333,4.1989773,4.3654357,0.65111675,2017-04-14 08:09:35.999997184
736799.61,0.47,4.2829711,4.1918152,4.3582735,0.65082578,2017-04-14 14:38:23.999998720
736799.86,0.11,4.274091,4.182935,4.3493934,0.64463707,2017-04-14 20:38:23.999998720
736800.04,1.11,4.2729187,4.1817628,4.3482211,0.64241736,2017-04-15 00:57:36.000003328
736800.32,0.11,4.2641888,4.1730329,4.3394912,0.64492037,2017-04-15 07:40:47.999995648
736800.43,0.11,4.2680467,4.1768907,4.343349,0.64423479,2017-04-15 10:19:12.000004352
736800.48,0.11,4.2694747,4.1783187,4.3447771,0.64145651,2017-04-15 11:31:11.999998464
736800.55,0.11,4.2672255,4.1760696,4.3425279,0.6391329,2017-04-15 13:12:00.000004096
736800.8,0.11,4.2587931,4.1676372,4.3340955,0.63449016,2017-04-15 19:12:00.000004096
736800.84,1.47,4.2660594,4.1749035,4.3413618,0.63240293,2017-04-15 20:09:35.999997184
736801.02,0.36,4.2624972,4.1713413,4.3377996,0.62897839,2017-04-16 00:28:48.000001536
736801.04,0.11,4.2620372,4.1708813,4.3373396,0.63081369,2017-04-16 00:57:36.000003328
736801.07,0.11,4.2642605,4.1731046,4.3395629,0.63267194,2017-04-16 01:40:47.999995648
736801.37,0.36,4.2554543,4.1642984,4.3307567,0.6276224,2017-04-16 08:52:47.999999488
736801.86,1.53,4.2496002,4.1584442,4.3249025,0.62854651,2017-04-16 20:38:23.999998720
736802.79,0.11,4.2217899,4.1306339,4.2970923,0.62900742,2017-04-17 18:57:36.000003328
736803.14,0.11,4.2095423,4.1183864,4.2848447,0.63116672,2017-04-18 03:21:36.000001280
736803.21,0.11,4.2012878,4.1101319,4.2765902,0.63125362,2017-04-18 05:02:23.999996672
736803.21,0.11,4.2012878,4.1101319,4.2765902,0.6308263,2017-04-18 05:02:23.999996672
