Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737796.07,1.53,4.4139626,4.3228067,4.489265,0.66179239,2020-01-06 01:40:47.999995576,0.0
737796.42,1.16,4.3990742,4.3079183,4.4743766,0.66336238,2020-01-06 10:04:48.000003620,0.0
737797.17,1.84,4.3949875,4.3038316,4.4702899,0.66458342,2020-01-07 04:04:48.000003620,0.0
737797.17,1.84,4.3949875,4.3038316,4.4702899,0.66407745,2020-01-07 04:04:48.000003620,0.0
737797.17,1.63,4.4275321,4.3363762,4.5028345,0.66458342,2020-01-07 04:04:48.000003620,0.0
737797.17,1.63,4.4275321,4.3363762,4.5028345,0.66407745,2020-01-07 04:04:48.000003620,0.0
737797.27,0.79,4.4256749,4.3345189,4.5009773,0.66219168,2020-01-07 06:28:48.000001607,0.0
737797.33,1.11,4.4261873,4.3350314,4.5014897,0.65802069,2020-01-07 07:55:11.999996379,0.0
737797.34,1.16,4.4278604,4.3367045,4.5031628,0.66358763,2020-01-07 08:09:35.999997183,0.0
737797.41,0.58,4.4219077,4.3307518,4.4972101,0.6636865,2020-01-07 09:50:24.000002816,0.0
737797.45,0.55,4.4201109,4.328955,4.4954133,0.66588962,2020-01-07 10:47:59.999995973,0.0
737797.5,0.63,4.4197496,4.3285937,4.495052,0.66655154,2020-01-07 12:00:00.000000000,0.0
737797.5,0.63,4.4197496,4.3285937,4.495052,0.66340583,2020-01-07 12:00:00.000000000,0.0
737797.5,1.08,4.4180056,4.3268496,4.493308,0.66655154,2020-01-07 12:00:00.000000000,0.0
737797.5,1.08,4.4180056,4.3268496,4.493308,0.66340583,2020-01-07 12:00:00.000000000,0.0
737797.53,1.63,4.4246411,4.3334852,4.4999435,0.66288174,2020-01-07 12:43:12.000002410,0.0
737797.53,1.63,4.4246411,4.3334852,4.4999435,0.66516759,2020-01-07 12:43:12.000002410,0.0
737797.53,0.61,4.4240314,4.3328754,4.4993338,0.66288174,2020-01-07 12:43:12.000002410,0.0
737797.53,0.61,4.4240314,4.3328754,4.4993338,0.66516759,2020-01-07 12:43:12.000002410,0.0
737797.64,0.79,4.4216364,4.3304805,4.4969388,0.66748721,2020-01-07 15:21:36.000001209,0.0
737797.64,0.79,4.4216364,4.3304805,4.4969388,0.67089126,2020-01-07 15:21:36.000001209,0.0
737797.64,0.55,4.4180389,4.326883,4.4933413,0.66748721,2020-01-07 15:21:36.000001209,0.0
737797.64,0.55,4.4180389,4.326883,4.4933413,0.67089126,2020-01-07 15:21:36.000001209,0.0
737797.66,0.95,4.4223124,4.3311565,4.4976148,0.66961447,2020-01-07 15:50:24.000002816,0.0
737797.68,0.63,4.4197,4.328544,4.4950024,0.67170645,2020-01-07 16:19:12.000004423,0.0
737797.69,1.41,4.4288344,4.3376785,4.5041368,0.67005449,2020-01-07 16:33:35.999995170,0.0
737797.73,0.58,4.4287152,4.3375593,4.5040176,0.67449399,2020-01-07 17:31:11.999998392,0.0
737797.74,1.63,4.4310852,4.3399293,4.5063876,0.67195413,2020-01-07 17:45:35.999999196,0.0
737797.86,0.88,4.4243045,4.3331485,4.4996069,0.67371405,2020-01-07 20:38:23.999998790,0.0
737797.87,0.79,4.4213041,4.3301482,4.4966065,0.67153546,2020-01-07 20:52:47.999999593,0.0
737797.91,1.32,4.4381514,4.3469955,4.5134538,0.66582023,2020-01-07 21:50:24.000002816,0.0
737797.92,0.79,4.4529123,4.3617564,4.5282147,0.66247209,2020-01-07 22:04:48.000003620,0.0
737798.0,1.08,4.4630893,4.3719333,4.5383917,0.65968337,2020-01-08 00:00:00.000000000,0.0
737798.0,1.08,4.4630893,4.3719333,4.5383917,0.66263869,2020-01-08 00:00:00.000000000,0.0
737798.0,0.55,4.4754551,4.3842992,4.5507575,0.65968337,2020-01-08 00:00:00.000000000,0.0
737798.0,0.55,4.4754551,4.3842992,4.5507575,0.66263869,2020-01-08 00:00:00.000000000,0.0
737798.03,0.58,4.4999346,4.4087786,4.575237,0.6573908,2020-01-08 00:43:12.000002410,0.0
737798.03,0.58,4.4999346,4.4087786,4.575237,0.65566501,2020-01-08 00:43:12.000002410,0.0
737798.03,0.63,4.5017898,4.4106338,4.5770922,0.6573908,2020-01-08 00:43:12.000002410,0.0
737798.03,0.63,4.5017898,4.4106338,4.5770922,0.65566501,2020-01-08 00:43:12.000002410,0.0
737798.09,1.6,4.5167972,4.4256413,4.5920996,0.65624924,2020-01-08 02:09:35.999997183,0.0
737798.1,0.88,4.5184776,4.4273217,4.59378,0.65843177,2020-01-08 02:23:59.999997986,0.0
737798.28,1.63,4.5160767,4.4249208,4.5913791,0.66473741,2020-01-08 06:43:12.000002410,0.0
