Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737887.85,1.0,4.4618159,4.37066,4.5371183,0.61704773,2020-04-06 20:23:59.999997986,0.0
737887.86,1.0,4.4597275,4.3685716,4.5350299,0.62230757,2020-04-06 20:38:23.999998790,0.0
737888.12,1.84,4.4638348,4.3726789,4.5391372,0.62324538,2020-04-07 02:52:47.999999593,0.0
737888.13,1.16,4.468388,4.3772321,4.5436904,0.61938006,2020-04-07 03:07:12.000000406,0.0
737888.14,1.47,4.4722893,4.3811334,4.5475917,0.62095228,2020-04-07 03:21:36.000001209,0.0
737888.27,1.16,4.4691713,4.3780153,4.5444736,0.61944945,2020-04-07 06:28:48.000001607,0.0
737888.29,2.0,4.4742741,4.3831182,4.5495765,0.62367798,2020-04-07 06:57:36.000003222,0.0
737888.32,1.08,4.4689309,4.377775,4.5442333,0.62144512,2020-04-07 07:40:47.999995576,0.0
737888.47,1.84,4.4686248,4.3774688,4.5439272,0.62145563,2020-04-07 11:16:47.999997589,0.0
737888.61,1.94,4.4756449,4.3844889,4.5509473,0.62580809,2020-04-07 14:38:23.999998790,0.0
737888.64,1.16,4.4780944,4.3869385,4.5533968,0.62674829,2020-04-07 15:21:36.000001209,0.0
737888.83,1.63,4.4767351,4.3855792,4.5520375,0.62808083,2020-04-07 19:55:11.999996379,0.0
737889.13,2.0,4.4821922,4.3910363,4.5574946,0.62826647,2020-04-08 03:07:12.000000406,0.0
737889.27,1.63,4.4766836,4.3855276,4.551986,0.6252296,2020-04-08 06:28:48.000001607,0.0
737889.63,1.57,4.4834544,4.3922985,4.5587568,0.62456306,2020-04-08 15:07:12.000000406,0.0
737889.78,1.0,4.477997,4.3868411,4.5532994,0.62560486,2020-04-08 18:43:12.000002410,0.0
737889.83,1.57,4.5117788,4.4206229,4.5870812,0.62273125,2020-04-08 19:55:11.999996379,0.0
737889.91,2.0,4.5342416,4.4430856,4.609544,0.62318186,2020-04-08 21:50:24.000002816,0.0
737890.03,1.0,4.5359831,4.4448272,4.6112855,0.62593118,2020-04-09 00:43:12.000002410,0.0
737890.11,1.6,4.5363117,4.4451558,4.6116141,0.6272383,2020-04-09 02:38:23.999998790,0.0
737890.13,1.32,4.5387723,4.4476163,4.6140747,0.62768257,2020-04-09 03:07:12.000000406,0.0
737890.23,1.94,4.5430786,4.4519226,4.618381,0.63292678,2020-04-09 05:31:11.999998392,0.0
737890.36,1.32,4.5386679,4.4475119,4.6139703,0.62900826,2020-04-09 08:38:23.999998790,0.0
737890.4,1.08,4.5360657,4.4449097,4.6113681,0.62750517,2020-04-09 09:36:00.000002013,0.0
737890.6,1.63,4.5461855,4.4550296,4.6214879,0.62387313,2020-04-09 14:23:59.999997986,0.0
737890.64,1.84,4.5552228,4.4640669,4.6305252,0.62294772,2020-04-09 15:21:36.000001209,0.0
737890.85,1.11,4.5455273,4.4543714,4.6208297,0.62138986,2020-04-09 20:23:59.999997986,0.0
737891.05,1.47,4.5426381,4.4514821,4.6179405,0.61722346,2020-04-10 01:12:00.000004026,0.0
737891.08,1.04,4.5419907,4.4508347,4.6172931,0.6194228,2020-04-10 01:55:11.999996379,0.0
737891.27,1.63,4.5421604,4.4510045,4.6174628,0.61895689,2020-04-10 06:28:48.000001607,0.0
737891.35,1.16,4.5422739,4.4511179,4.6175763,0.62050931,2020-04-10 08:23:59.999997986,0.0
737891.53,1.04,4.5425413,4.4513854,4.6178437,0.62192046,2020-04-10 12:43:12.000002410,0.0
