Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737070.59,0.95,4.2999963,4.2088404,4.3752987,0.61030535,2018-01-10 14:09:35.999997183,0
737070.6,0.63,4.2980163,4.2068604,4.3733187,0.6128641,2018-01-10 14:23:59.999997986,0
737071.71,0.63,4.2758883,4.1847324,4.3511907,0.60849236,2018-01-11 17:02:23.999996777,0
737071.78,0.79,4.2757281,4.1845721,4.3510305,0.60756716,2018-01-11 18:43:12.000002410,0
737071.98,0.63,4.2726049,4.1814489,4.3479073,0.60633657,2018-01-11 23:31:11.999998392,0
737072.17,0.88,4.2702614,4.1791055,4.3455638,0.60192462,2018-01-12 04:04:48.000003620,0
737072.23,0.58,4.268583,4.1774271,4.3438854,0.60322299,2018-01-12 05:31:11.999998392,0
737072.86,1.13,4.2588777,4.1677217,4.3341801,0.598289,2018-01-12 20:38:23.999998790,0
737072.86,1.13,4.2588777,4.1677217,4.3341801,0.60184821,2018-01-12 20:38:23.999998790,0
737072.86,0.55,4.2589017,4.1677458,4.3342041,0.598289,2018-01-12 20:38:23.999998790,0
737072.86,0.55,4.2589017,4.1677458,4.3342041,0.60184821,2018-01-12 20:38:23.999998790,0
737073.23,1.13,4.2544438,4.1632879,4.3297462,0.60561393,2018-01-13 05:31:11.999998392,0
737073.72,0.58,4.2427632,4.1516073,4.3180656,0.60688024,2018-01-13 17:16:47.999997589,0
737073.97,0.95,4.2415411,4.1503851,4.3168435,0.60847016,2018-01-13 23:16:47.999997589,0
737074.89,0.63,4.2250617,4.1339058,4.3003641,0.60808615,2018-01-14 21:21:36.000001209,0
737075.43,0.88,4.2176404,4.1264844,4.2929428,0.60724907,2018-01-15 10:19:12.000004423,0
737075.94,2.09,4.2200036,4.1288477,4.295306,0.60754986,2018-01-15 22:33:35.999995170,0
737076.07,0.58,4.2240416,4.1328857,4.299344,0.60914398,2018-01-16 01:40:47.999995576,0
737076.09,1.57,4.230118,4.1389621,4.3054204,0.60952437,2018-01-16 02:09:35.999997183,0
737076.28,1.04,4.2276939,4.1365379,4.3029963,0.608304,2018-01-16 06:43:12.000002410,0
737076.29,0.61,4.2338203,4.1426644,4.3091227,0.61343059,2018-01-16 06:57:36.000003222,0
737076.59,1.41,4.2353486,4.1441927,4.310651,0.61506129,2018-01-16 14:09:35.999997183,0
737076.65,0.63,4.2423679,4.151212,4.3176703,0.61510809,2018-01-16 15:36:00.000002013,0
737076.86,1.08,4.2396417,4.1484858,4.3149441,0.61507345,2018-01-16 20:38:23.999998790,0
737076.96,0.79,4.2410582,4.1499023,4.3163606,0.61527499,2018-01-16 23:02:23.999996777,0
737077.17,0.88,4.2439328,4.1527768,4.3192352,0.61435824,2018-01-17 04:04:48.000003620,0
