Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737030.67,1.84,4.0464368,3.9552809,4.1217392,0.62077737,2017-12-01 16:04:48.000003620,0
737034.48,1.84,4.0243925,3.9332366,4.0996949,0.61989867,2017-12-05 11:31:11.999998392,0
737034.49,1.6,4.0278974,3.9367415,4.1031998,0.61951661,2017-12-05 11:45:35.999999196,0
737034.71,1.57,4.0392405,3.9480846,4.1145429,0.61544429,2017-12-05 17:02:23.999996777,0
737035.6,1.53,4.0382263,3.9470704,4.1135287,0.61754648,2017-12-06 14:23:59.999997986,0
737037.51,1.6,4.0271254,3.9359695,4.1024278,0.61746054,2017-12-08 12:14:24.000000803,0
737040.46,1.53,4.0123005,3.9211446,4.0876029,0.62133768,2017-12-11 11:02:23.999996777,0
737042.91,1.53,3.9993437,3.9081878,4.0746461,0.62172635,2017-12-13 21:50:24.000002816,0
737043.31,2.69,4.0086814,3.9175255,4.0839838,0.62367781,2017-12-14 07:26:24.000004829,0
737049.43,1.84,3.9801036,3.8889476,4.055406,0.62695273,2017-12-20 10:19:12.000004423,0
737050.51,1.53,3.9768294,3.8856734,4.0521318,0.62765503,2017-12-21 12:14:24.000000803,0
737057.22,1.6,3.9456372,3.8544812,4.0209396,0.62851256,2017-12-28 05:16:47.999997589,0
737057.35,1.57,3.9462364,3.8550804,4.0215388,0.63153714,2017-12-28 08:23:59.999997986,0
737057.39,2.05,3.94893,3.8577741,4.0242324,0.63007004,2017-12-28 09:21:36.000001209,0
737057.89,1.57,3.9471174,3.8559615,4.0224198,0.62610965,2017-12-28 21:21:36.000001209,0
737057.93,1.63,3.9480468,3.8568908,4.0233492,0.62413645,2017-12-28 22:19:12.000004423,0
737058.37,1.94,3.9467838,3.8556279,4.0220862,0.62020698,2017-12-29 08:52:47.999999593,0
737058.62,1.94,3.9596649,3.868509,4.0349673,0.61779537,2017-12-29 14:52:47.999999593,0
737058.69,1.57,3.9613823,3.8702264,4.0366847,0.61988497,2017-12-29 16:33:35.999995170,0
737058.87,1.63,3.961924,3.870768,4.0372264,0.61722175,2017-12-29 20:52:47.999999593,0
737059.22,1.84,3.9671529,3.875997,4.0424553,0.61639685,2017-12-30 05:16:47.999997589,0
737062.6,1.84,3.9539582,3.8628023,4.0292606,0.613768,2018-01-02 14:23:59.999997986,0
737063.01,2.69,3.9610803,3.8699243,4.0363826,0.61660846,2018-01-03 00:14:24.000000803,0
737063.21,1.6,3.9564178,3.8652619,4.0317202,0.61298712,2018-01-03 05:02:23.999996777,0
737063.67,1.63,3.9532213,3.8620654,4.0285237,0.60890314,2018-01-03 16:04:48.000003620,0
737064.8,2.13,3.9549878,3.8638319,4.0302902,0.61251487,2018-01-04 19:12:00.000004026,1
737065.51,1.53,3.952547,3.8613911,4.0278494,0.61413883,2018-01-05 12:14:24.000000803,1
737066.03,2.46,3.9642987,3.8731428,4.0396011,0.61165141,2018-01-06 00:43:12.000002410,1
737067.87,2.53,3.961179,3.870023,4.0364814,0.61253256,2018-01-07 20:52:47.999999593,1
737075.94,2.09,3.9288441,3.8376882,4.0041465,0.61795756,2018-01-15 22:33:35.999995170,1
737076.09,1.57,3.9312923,3.8401363,4.0065947,0.61759713,2018-01-16 02:09:35.999997183,1
737080.98,2.46,3.9157868,3.8246309,3.9910892,0.61973376,2018-01-20 23:31:11.999998392,1
737083.43,1.63,3.9056907,3.8145347,3.9809931,0.62052065,2018-01-23 10:19:12.000004423,1
737083.88,1.57,3.9063437,3.8151878,3.9816461,0.62019037,2018-01-23 21:07:12.000000406,1
737090.1,3.15,3.9004177,3.8092618,3.9757201,0.62588375,2018-01-30 02:23:59.999997986,1
737091.84,1.57,3.8944739,3.803318,3.9697763,0.62694242,2018-01-31 20:09:35.999997183,1
