Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
736882.69,1.57,3.7413931,3.6502372,3.8166955,0.66051297,2017-07-06 16:33:35.999995170,0
736883.16,1.6,3.740782,3.6496261,3.8160844,0.66361981,2017-07-07 03:50:24.000002816,0
736883.85,1.6,3.7495803,3.6584244,3.8248827,0.6649399,2017-07-07 20:23:59.999997986,0
736886.89,1.57,3.7383915,3.6472356,3.8136939,0.66830626,2017-07-10 21:21:36.000001209,0
736887.7,1.32,3.7377516,3.6465956,3.813054,0.66743133,2017-07-11 16:47:59.999995973,0
736888.39,1.57,3.7411794,3.6500235,3.8164818,0.66862076,2017-07-12 09:21:36.000001209,0
736888.96,1.6,3.7450405,3.6538846,3.8203429,0.66858747,2017-07-12 23:02:23.999996777,0
736889.16,1.53,3.7463663,3.6552103,3.8216687,0.66652886,2017-07-13 03:50:24.000002816,0
736889.65,1.16,3.7489087,3.6577528,3.8242111,0.66529669,2017-07-13 15:36:00.000002013,0
736889.72,1.32,3.7517274,3.6605715,3.8270298,0.66098231,2017-07-13 17:16:47.999997589,0
736890.02,1.6,3.7556773,3.6645213,3.8309797,0.65723383,2017-07-14 00:28:48.000001607,0
736891.14,1.84,3.7684275,3.6772716,3.8437299,0.65645038,2017-07-15 03:21:36.000001209,0
736893.21,1.04,3.7600581,3.6689021,3.8353605,0.65661574,2017-07-17 05:02:23.999996777,0
736893.7,1.84,3.7619184,3.6707625,3.8372208,0.65964139,2017-07-17 16:47:59.999995973,0
736894.68,1.6,3.7597962,3.6686402,3.8350986,0.6600124,2017-07-18 16:19:12.000004423,0
736895.57,1.84,3.7593484,3.6681924,3.8346507,0.6622691,2017-07-19 13:40:47.999995576,0
736896.21,1.63,3.7589538,3.6677978,3.8342562,0.6560437,2017-07-20 05:02:23.999996777,0
736896.49,1.32,3.7577333,3.6665773,3.8330356,0.64702211,2017-07-20 11:45:35.999999196,0
736896.98,1.08,3.7739084,3.6827525,3.8492108,0.64229466,2017-07-20 23:31:11.999998392,0
736897.03,1.57,3.7893574,3.6982014,3.8646598,0.63917968,2017-07-21 00:43:12.000002410,0
736897.72,1.0,3.7898192,3.6986633,3.8651216,0.63663503,2017-07-21 17:16:47.999997589,0
736897.78,1.0,3.7866756,3.6955197,3.861978,0.63900476,2017-07-21 18:43:12.000002410,0
736897.88,1.0,3.7908908,3.6997348,3.8661932,0.63642968,2017-07-21 21:07:12.000000406,0
736898.09,1.11,3.8155103,3.7243544,3.8908127,0.62989007,2017-07-22 02:09:35.999997183,0
736898.26,1.04,3.813156,3.7220001,3.8884584,0.63003308,2017-07-22 06:14:24.000000803,0
736900.22,1.0,3.8036746,3.7125187,3.878977,0.62660179,2017-07-24 05:16:47.999997589,0
736900.86,1.0,3.8004605,3.7093046,3.8757629,0.627796,2017-07-24 20:38:23.999998790,0
736909.59,1.04,3.7558248,3.6646689,3.8311272,0.62978554,2017-08-02 14:09:35.999997183,0
736909.79,1.11,3.7549748,3.6638189,3.8302772,0.62780561,2017-08-02 18:57:36.000003222,0
736909.87,1.08,3.7561906,3.6650347,3.831493,0.62961248,2017-08-02 20:52:47.999999593,0
736909.94,1.04,3.7545177,3.6633618,3.8298201,0.62390447,2017-08-02 22:33:35.999995170,0
736923.24,1.11,3.6896795,3.5985236,3.7649819,0.62073534,2017-08-16 05:45:35.999999196,0
736923.55,1.0,3.686167,3.5950111,3.7614694,0.61954439,2017-08-16 13:12:00.000004026,0
736924.05,1.16,3.6995567,3.6084008,3.7748591,0.61495339,2017-08-17 01:12:00.000004026,0
736924.07,1.16,3.6992527,3.6080968,3.7745551,0.61469446,2017-08-17 01:40:47.999995576,0
736925.8,1.53,3.6896812,3.5985253,3.7649836,0.61216048,2017-08-18 19:12:00.000004026,0
736927.44,2.37,3.6928919,3.601736,3.7681943,0.61241031,2017-08-20 10:33:35.999995170,0
736932.77,1.08,3.6778003,3.5866443,3.7531027,0.61149673,2017-08-25 18:28:48.000001607,0
736933.17,1.63,3.6777143,3.5865584,3.7530167,0.60619926,2017-08-26 04:04:48.000003620,0
736933.85,1.04,3.6763866,3.5852307,3.751689,0.60051946,2017-08-26 20:23:59.999997986,0
736938.31,1.6,3.6720525,3.5808965,3.7473549,0.600175,2017-08-31 07:26:24.000004829,0
736938.44,1.11,3.6723018,3.5811459,3.7476042,0.59838903,2017-08-31 10:33:35.999995170,0
736939.2,1.11,3.6694508,3.5782949,3.7447532,0.59692786,2017-09-01 04:47:59.999995973,0
736939.67,1.63,3.6709347,3.5797787,3.7462371,0.5962038,2017-09-01 16:04:48.000003620,0
736939.85,1.11,3.6735209,3.582365,3.7488233,0.59441941,2017-09-01 20:23:59.999997986,0
736939.87,1.13,3.6740616,3.5829057,3.749364,0.59749174,2017-09-01 20:52:47.999999593,0
736939.9,1.66,3.6850148,3.5938588,3.7603172,0.59310705,2017-09-01 21:36:00.000002013,0
736939.97,1.04,3.7313512,3.6401953,3.8066536,0.58649977,2017-09-01 23:16:47.999997589,0
736940.08,1.47,3.7421802,3.6510243,3.8174826,0.583916,2017-09-02 01:55:11.999996379,0
736940.19,1.53,3.7487743,3.6576184,3.8240767,0.582274,2017-09-02 04:33:35.999995170,1
736940.41,1.57,3.750558,3.659402,3.8258604,0.58139433,2017-09-02 09:50:24.000002816,1
736940.44,1.57,3.7534051,3.6622491,3.8287075,0.58298586,2017-09-02 10:33:35.999995170,1
736940.5,1.04,3.7521476,3.6609917,3.82745,0.58261505,2017-09-02 12:00:00.000000000,1
736940.53,1.32,3.7535726,3.6624166,3.828875,0.58122469,2017-09-02 12:43:12.000002410,1
736940.53,1.32,3.7535726,3.6624166,3.828875,0.58443903,2017-09-02 12:43:12.000002410,1
736940.53,1.32,3.7547215,3.6635655,3.8300239,0.58122469,2017-09-02 12:43:12.000002410,1
736940.53,1.32,3.7547215,3.6635655,3.8300239,0.58443903,2017-09-02 12:43:12.000002410,1
736940.54,1.32,3.7544512,3.6632953,3.8297536,0.58754946,2017-09-02 12:57:36.000003222,1
736940.56,1.63,3.7565463,3.6653903,3.8318487,0.59351503,2017-09-02 13:26:24.000004829,1
736940.58,1.04,3.7550503,3.6638944,3.8303527,0.59721025,2017-09-02 13:55:11.999996379,1
736940.59,1.16,3.7555202,3.6643642,3.8308226,0.60032848,2017-09-02 14:09:35.999997183,1
736940.61,1.84,3.7593054,3.6681495,3.8346078,0.60562826,2017-09-02 14:38:23.999998790,1
736940.65,1.04,3.7598138,3.6686579,3.8351162,0.6097129,2017-09-02 15:36:00.000002013,1
736940.72,1.0,3.7583374,3.6671815,3.8336398,0.61211316,2017-09-02 17:16:47.999997589,1
736940.89,1.13,3.7581025,3.6669466,3.8334049,0.61075764,2017-09-02 21:21:36.000001209,1
736940.97,1.32,3.7589852,3.6678293,3.8342876,0.61082133,2017-09-02 23:16:47.999997589,1
736941.01,1.0,3.7594284,3.6682725,3.8347308,0.61378598,2017-09-03 00:14:24.000000803,1
736941.37,1.08,3.7576682,3.6665122,3.8329706,0.61223681,2017-09-03 08:52:47.999999593,1
